[15:21:26]  <ipython-input-2-09f797b7f757> :: INFO : Analysis started
[15:36:05]  pyseqrna_stats :: INFO : 4489216 input reads in OF1
[15:36:06]  pyseqrna_stats :: INFO : 4144691 input reads in OF2
[15:36:06]  pyseqrna_stats :: INFO : 2850121 input reads in OF3
[15:36:06]  pyseqrna_stats :: INFO : 4571643 input reads in OG1
[15:36:07]  pyseqrna_stats :: INFO : 4122288 input reads in OG2
[15:36:07]  pyseqrna_stats :: INFO : 3109298 input reads in OG3
[15:36:07]  pyseqrna_stats :: INFO : 6301057 input reads in OH1
[15:36:08]  pyseqrna_stats :: INFO : 4607711 input reads in OH2
[15:36:08]  pyseqrna_stats :: INFO : 3329332 input reads in OH3
[15:36:08]  pyseqrna_stats :: INFO : 4760442 input reads in OI1
[15:36:09]  pyseqrna_stats :: INFO : 5487219 input reads in OI2
[15:36:09]  pyseqrna_stats :: INFO : 4125883 input reads in OI3
[15:36:10]  pyseqrna_stats :: INFO : 3773070 input reads in OJ1
[15:36:10]  pyseqrna_stats :: INFO : 4059060 input reads in OJ2
[15:36:10]  pyseqrna_stats :: INFO : 4303695 input reads in OJ3
[15:36:11]  pyseqrna_stats :: INFO : 3552052 input reads in OK1
[15:36:11]  pyseqrna_stats :: INFO : 5076311 input reads in OK2
[15:36:12]  pyseqrna_stats :: INFO : 3508866 input reads in OK3
[15:36:12]  pyseqrna_stats :: INFO : 4151740 input reads in OL1
[15:36:12]  pyseqrna_stats :: INFO : 4143506 input reads in OL2
[15:36:13]  pyseqrna_stats :: INFO : 4975208 input reads in OL3
[15:36:13]  pyseqrna_stats :: INFO : 2818970 input reads in OM1
[15:36:13]  pyseqrna_stats :: INFO : 3983604 input reads in OM2
[15:36:14]  pyseqrna_stats :: INFO : 3234705 input reads in OM3
[15:36:14]  pyseqrna_stats :: INFO : 4418409 input reads in ON1
[15:36:14]  pyseqrna_stats :: INFO : 4616109 input reads in ON2
[15:36:15]  pyseqrna_stats :: INFO : 3419672 input reads in ON3
[15:36:15]  pyseqrna_stats :: INFO : 3928459 input reads in OO1
[15:36:16]  pyseqrna_stats :: INFO : 3682762 input reads in OO2
[15:36:16]  pyseqrna_stats :: INFO : 3986051 input reads in OO3
[15:36:16]  pyseqrna_stats :: INFO : 5648095 input reads in OP1
[15:36:17]  pyseqrna_stats :: INFO : 4919063 input reads in OP2
[15:36:17]  pyseqrna_stats :: INFO : 5021536 input reads in OP3
[15:36:17]  pyseqrna_stats :: INFO : 3914270 input reads in OQ1
[15:36:18]  pyseqrna_stats :: INFO : 5077562 input reads in OQ2
[15:36:18]  pyseqrna_stats :: INFO : 4296269 input reads in OQ3
[15:36:19]  pyseqrna_stats :: INFO : 3314311 input reads in OR1
[15:36:19]  pyseqrna_stats :: INFO : 4649632 input reads in OR2
[15:36:19]  pyseqrna_stats :: INFO : 4779811 input reads in OR3
[15:36:20]  pyseqrna_stats :: INFO : 4449030 input reads in OS1
[15:36:20]  pyseqrna_stats :: INFO : 4643493 input reads in OS2
[15:36:20]  pyseqrna_stats :: INFO : 4486168 input reads in OS3
[15:36:21]  pyseqrna_stats :: INFO : 4424494 input reads in OT1
[15:36:21]  pyseqrna_stats :: INFO : 4274247 input reads in OT2
[15:36:22]  pyseqrna_stats :: INFO : 2711363 input reads in OT3
[15:36:22]  pyseqrna_stats :: INFO : 3302688 input reads in OU1
[15:36:22]  pyseqrna_stats :: INFO : 4680098 input reads in OU2
[15:36:23]  pyseqrna_stats :: INFO : 3402346 input reads in OU3
[15:36:23]  pyseqrna_stats :: INFO : 4798184 input reads in OV1
[15:36:23]  pyseqrna_stats :: INFO : 4997513 input reads in OV2
[15:36:24]  pyseqrna_stats :: INFO : 4563424 input reads in OV3
[15:36:24]  pyseqrna_stats :: INFO : 3223988 input reads in OW1
[15:36:25]  pyseqrna_stats :: INFO : 4716593 input reads in OW2
[15:36:25]  pyseqrna_stats :: INFO : 4181434 input reads in OW3
[15:36:25]  pyseqrna_stats :: INFO : 3677886 input reads in OX1
[15:36:26]  pyseqrna_stats :: INFO : 4613937 input reads in OX2
[15:36:26]  pyseqrna_stats :: INFO : 4552631 input reads in OX3
[15:36:34]  pyseqrna_stats :: ERROR : Not able to generate align stats
[15:42:54]  pyseqrna_stats :: INFO : 3931466 input reads in GA1
[15:42:54]  pyseqrna_stats :: INFO : 4470312 input reads in GA2
[15:42:54]  pyseqrna_stats :: INFO : 3992011 input reads in GA3
[15:42:55]  pyseqrna_stats :: INFO : 3508802 input reads in GB1
[15:42:55]  pyseqrna_stats :: INFO : 4380051 input reads in GB2
[15:42:55]  pyseqrna_stats :: INFO : 3183231 input reads in GB3
[15:42:55]  pyseqrna_stats :: INFO : 3698911 input reads in GC1
[15:42:56]  pyseqrna_stats :: INFO : 5379082 input reads in GC2
[15:42:56]  pyseqrna_stats :: INFO : 3187384 input reads in GC3
[15:42:56]  pyseqrna_stats :: INFO : 3850779 input reads in GD1
[15:42:56]  pyseqrna_stats :: INFO : 4574353 input reads in GD2
[15:42:56]  pyseqrna_stats :: INFO : 3828052 input reads in GD3
[15:42:57]  pyseqrna_stats :: INFO : 4073016 input reads in GE1
[15:42:57]  pyseqrna_stats :: INFO : 4892135 input reads in GE2
[15:42:57]  pyseqrna_stats :: INFO : 4372997 input reads in GE3
[15:42:57]  pyseqrna_stats :: INFO : 3924310 input reads in GF1
[15:42:58]  pyseqrna_stats :: INFO : 4162178 input reads in GF2
[15:42:58]  pyseqrna_stats :: INFO : 3960830 input reads in GF3
[15:42:58]  pyseqrna_stats :: INFO : 4012635 input reads in GG1
[15:42:58]  pyseqrna_stats :: INFO : 3911453 input reads in GG2
[15:42:58]  pyseqrna_stats :: INFO : 5807773 input reads in GG3
[15:42:59]  pyseqrna_stats :: INFO : 4468122 input reads in GH1
[15:42:59]  pyseqrna_stats :: INFO : 4479294 input reads in GH2
[15:42:59]  pyseqrna_stats :: INFO : 3455454 input reads in GH3
[15:42:59]  pyseqrna_stats :: INFO : 4055875 input reads in GI1
[15:42:59]  pyseqrna_stats :: INFO : 5871999 input reads in GI2
[15:43:00]  pyseqrna_stats :: INFO : 3423930 input reads in GI3
[15:43:00]  pyseqrna_stats :: INFO : 3696839 input reads in GJ1
[15:43:00]  pyseqrna_stats :: INFO : 3545637 input reads in GJ2
[15:43:00]  pyseqrna_stats :: INFO : 3418915 input reads in GJ3
[15:43:00]  pyseqrna_stats :: INFO : 4383388 input reads in GK1
[15:43:01]  pyseqrna_stats :: INFO : 4357336 input reads in GK2
[15:43:01]  pyseqrna_stats :: INFO : 3922937 input reads in GK3
[15:43:01]  pyseqrna_stats :: INFO : 3576426 input reads in GL1
[15:43:01]  pyseqrna_stats :: INFO : 3419084 input reads in GL2
[15:43:01]  pyseqrna_stats :: INFO : 3398498 input reads in GL3
[15:43:02]  pyseqrna_stats :: INFO : 3744072 input reads in GM1
[15:43:02]  pyseqrna_stats :: INFO : 3975733 input reads in GM2
[15:43:02]  pyseqrna_stats :: INFO : 3101763 input reads in GM3
[15:43:02]  pyseqrna_stats :: INFO : 4798180 input reads in GN1
[15:43:02]  pyseqrna_stats :: INFO : 4123558 input reads in GN2
[15:43:03]  pyseqrna_stats :: INFO : 3942219 input reads in GN3
[15:43:03]  pyseqrna_stats :: INFO : 4097234 input reads in GO1
[15:43:03]  pyseqrna_stats :: INFO : 4601809 input reads in GO2
[15:43:03]  pyseqrna_stats :: INFO : 3357421 input reads in GO3
[15:43:04]  pyseqrna_stats :: INFO : 5071449 input reads in GP1
[15:43:04]  pyseqrna_stats :: INFO : 4861904 input reads in GP2
[15:43:04]  pyseqrna_stats :: INFO : 3265051 input reads in GP3
[15:43:04]  pyseqrna_stats :: INFO : 3821572 input reads in GQ1
[15:43:05]  pyseqrna_stats :: INFO : 3811979 input reads in GQ2
[15:43:05]  pyseqrna_stats :: INFO : 4927479 input reads in GQ3
[15:43:05]  pyseqrna_stats :: INFO : 3527122 input reads in GR1
[15:43:05]  pyseqrna_stats :: INFO : 4790520 input reads in GR2
[15:43:05]  pyseqrna_stats :: INFO : 3674520 input reads in GR3
[15:43:06]  pyseqrna_stats :: INFO : 4011688 input reads in GS1
[15:43:06]  pyseqrna_stats :: INFO : 3881753 input reads in GS2
[15:43:06]  pyseqrna_stats :: INFO : 3323406 input reads in GS3
[15:43:06]  pyseqrna_stats :: INFO : 4081701 input reads in GT1
[15:43:06]  pyseqrna_stats :: INFO : 3643166 input reads in GT2
[15:43:07]  pyseqrna_stats :: INFO : 3868058 input reads in GT3
[15:43:07]  pyseqrna_stats :: INFO : 4329255 input reads in GU1
[15:43:07]  pyseqrna_stats :: INFO : 4330352 input reads in GU2
[15:43:07]  pyseqrna_stats :: INFO : 3650575 input reads in GU3
[15:43:08]  pyseqrna_stats :: INFO : 5246804 input reads in GV1
[15:43:08]  pyseqrna_stats :: INFO : 4271587 input reads in GV2
[15:43:08]  pyseqrna_stats :: INFO : 3220561 input reads in GV3
[15:43:08]  pyseqrna_stats :: INFO : 4176063 input reads in GW1
[15:43:09]  pyseqrna_stats :: INFO : 4452014 input reads in GW2
[15:43:09]  pyseqrna_stats :: INFO : 3479006 input reads in GW3
[15:43:09]  pyseqrna_stats :: INFO : 4835817 input reads in GX1
[15:43:09]  pyseqrna_stats :: INFO : 4473538 input reads in GX2
[15:43:09]  pyseqrna_stats :: INFO : 3424864 input reads in GX3
[15:43:10]  pyseqrna_stats :: INFO : 5640010 input reads in OA1
[15:43:10]  pyseqrna_stats :: INFO : 4389291 input reads in OA2
[15:43:10]  pyseqrna_stats :: INFO : 4311970 input reads in OA3
[15:43:10]  pyseqrna_stats :: INFO : 3424371 input reads in OB1
[15:43:11]  pyseqrna_stats :: INFO : 4075387 input reads in OB2
[15:43:11]  pyseqrna_stats :: INFO : 2956924 input reads in OB3
[15:43:11]  pyseqrna_stats :: INFO : 3623629 input reads in OC1
[15:43:11]  pyseqrna_stats :: INFO : 3715275 input reads in OC2
[15:43:11]  pyseqrna_stats :: INFO : 4278349 input reads in OC3
[15:43:12]  pyseqrna_stats :: INFO : 3655491 input reads in OD1
[15:43:12]  pyseqrna_stats :: INFO : 4269599 input reads in OD2
[15:43:12]  pyseqrna_stats :: INFO : 5058471 input reads in OD3
[15:43:12]  pyseqrna_stats :: INFO : 2951876 input reads in OE1
[15:43:12]  pyseqrna_stats :: INFO : 4091045 input reads in OE2
[15:43:13]  pyseqrna_stats :: INFO : 3382691 input reads in OE3
[15:43:13]  pyseqrna_stats :: INFO : 4489216 input reads in OF1
[15:43:13]  pyseqrna_stats :: INFO : 4144691 input reads in OF2
[15:43:13]  pyseqrna_stats :: INFO : 2850121 input reads in OF3
[15:43:13]  pyseqrna_stats :: INFO : 4571643 input reads in OG1
[15:43:14]  pyseqrna_stats :: INFO : 4122288 input reads in OG2
[15:43:14]  pyseqrna_stats :: INFO : 3109298 input reads in OG3
[15:43:14]  pyseqrna_stats :: INFO : 6301057 input reads in OH1
[15:43:14]  pyseqrna_stats :: INFO : 4607711 input reads in OH2
[15:43:15]  pyseqrna_stats :: INFO : 3329332 input reads in OH3
[15:43:15]  pyseqrna_stats :: INFO : 4760442 input reads in OI1
[15:43:15]  pyseqrna_stats :: INFO : 5487219 input reads in OI2
[15:43:15]  pyseqrna_stats :: INFO : 4125883 input reads in OI3
[15:43:16]  pyseqrna_stats :: INFO : 3773070 input reads in OJ1
[15:43:16]  pyseqrna_stats :: INFO : 4059060 input reads in OJ2
[15:43:16]  pyseqrna_stats :: INFO : 4303695 input reads in OJ3
[15:43:16]  pyseqrna_stats :: INFO : 3552052 input reads in OK1
[15:43:16]  pyseqrna_stats :: INFO : 5076311 input reads in OK2
[15:43:17]  pyseqrna_stats :: INFO : 3508866 input reads in OK3
[15:43:17]  pyseqrna_stats :: INFO : 4151740 input reads in OL1
[15:43:17]  pyseqrna_stats :: INFO : 4143506 input reads in OL2
[15:43:17]  pyseqrna_stats :: INFO : 4975208 input reads in OL3
[15:43:18]  pyseqrna_stats :: INFO : 2818970 input reads in OM1
[15:43:18]  pyseqrna_stats :: INFO : 3983604 input reads in OM2
[15:43:18]  pyseqrna_stats :: INFO : 3234705 input reads in OM3
[15:43:18]  pyseqrna_stats :: INFO : 4418409 input reads in ON1
[15:43:18]  pyseqrna_stats :: INFO : 4616109 input reads in ON2
[15:43:19]  pyseqrna_stats :: INFO : 3419672 input reads in ON3
[15:43:19]  pyseqrna_stats :: INFO : 3928459 input reads in OO1
[15:43:19]  pyseqrna_stats :: INFO : 3682762 input reads in OO2
[15:43:19]  pyseqrna_stats :: INFO : 3986051 input reads in OO3
[15:43:19]  pyseqrna_stats :: INFO : 5648095 input reads in OP1
[15:43:20]  pyseqrna_stats :: INFO : 4919063 input reads in OP2
[15:43:20]  pyseqrna_stats :: INFO : 5021536 input reads in OP3
[15:43:20]  pyseqrna_stats :: INFO : 3914270 input reads in OQ1
[15:43:20]  pyseqrna_stats :: INFO : 5077562 input reads in OQ2
[15:43:21]  pyseqrna_stats :: INFO : 4296269 input reads in OQ3
[15:43:21]  pyseqrna_stats :: INFO : 3314311 input reads in OR1
[15:43:21]  pyseqrna_stats :: INFO : 4649632 input reads in OR2
[15:43:21]  pyseqrna_stats :: INFO : 4779811 input reads in OR3
[15:43:22]  pyseqrna_stats :: INFO : 4449030 input reads in OS1
[15:43:22]  pyseqrna_stats :: INFO : 4643493 input reads in OS2
[15:43:22]  pyseqrna_stats :: INFO : 4486168 input reads in OS3
[15:43:22]  pyseqrna_stats :: INFO : 4424494 input reads in OT1
[15:43:22]  pyseqrna_stats :: INFO : 4274247 input reads in OT2
[15:43:23]  pyseqrna_stats :: INFO : 2711363 input reads in OT3
[15:43:23]  pyseqrna_stats :: INFO : 3302688 input reads in OU1
[15:43:23]  pyseqrna_stats :: INFO : 4680098 input reads in OU2
[15:43:23]  pyseqrna_stats :: INFO : 3402346 input reads in OU3
[15:43:23]  pyseqrna_stats :: INFO : 4798184 input reads in OV1
[15:43:24]  pyseqrna_stats :: INFO : 4997513 input reads in OV2
[15:43:24]  pyseqrna_stats :: INFO : 4563424 input reads in OV3
[15:43:24]  pyseqrna_stats :: INFO : 3223988 input reads in OW1
[15:43:24]  pyseqrna_stats :: INFO : 4716593 input reads in OW2
[15:43:25]  pyseqrna_stats :: INFO : 4181434 input reads in OW3
[15:43:25]  pyseqrna_stats :: INFO : 3677886 input reads in OX1
[15:43:25]  pyseqrna_stats :: INFO : 4613937 input reads in OX2
[15:43:25]  pyseqrna_stats :: INFO : 4552631 input reads in OX3
[15:43:26]  pyseqrna_stats :: INFO : 3926748 input reads in GA1
[15:43:26]  pyseqrna_stats :: INFO : 4468519 input reads in GA2
[15:43:27]  pyseqrna_stats :: INFO : 3991404 input reads in GA3
[15:43:27]  pyseqrna_stats :: INFO : 3507899 input reads in GB1
[15:43:27]  pyseqrna_stats :: INFO : 4378775 input reads in GB2
[15:43:28]  pyseqrna_stats :: INFO : 3182610 input reads in GB3
[15:43:28]  pyseqrna_stats :: INFO : 3694690 input reads in GC1
[15:43:29]  pyseqrna_stats :: INFO : 5377443 input reads in GC2
[15:43:29]  pyseqrna_stats :: INFO : 3186703 input reads in GC3
[15:43:29]  pyseqrna_stats :: INFO : 3848977 input reads in GD1
[15:43:30]  pyseqrna_stats :: INFO : 4570428 input reads in GD2
[15:43:30]  pyseqrna_stats :: INFO : 3827235 input reads in GD3
[15:43:30]  pyseqrna_stats :: INFO : 4071095 input reads in GE1
[15:43:31]  pyseqrna_stats :: INFO : 4889779 input reads in GE2
[15:43:31]  pyseqrna_stats :: INFO : 4371612 input reads in GE3
[15:43:31]  pyseqrna_stats :: INFO : 3923590 input reads in GF1
[15:43:32]  pyseqrna_stats :: INFO : 4161552 input reads in GF2
[15:43:32]  pyseqrna_stats :: INFO : 3958514 input reads in GF3
[15:43:33]  pyseqrna_stats :: INFO : 4011687 input reads in GG1
[15:43:33]  pyseqrna_stats :: INFO : 3910648 input reads in GG2
[15:43:33]  pyseqrna_stats :: INFO : 5806048 input reads in GG3
[15:43:34]  pyseqrna_stats :: INFO : 4466262 input reads in GH1
[15:43:34]  pyseqrna_stats :: INFO : 4478372 input reads in GH2
[15:43:35]  pyseqrna_stats :: INFO : 3454907 input reads in GH3
[15:43:35]  pyseqrna_stats :: INFO : 4051151 input reads in GI1
[15:43:35]  pyseqrna_stats :: INFO : 5865710 input reads in GI2
[15:43:36]  pyseqrna_stats :: INFO : 3423004 input reads in GI3
[15:43:36]  pyseqrna_stats :: INFO : 3696607 input reads in GJ1
[15:43:36]  pyseqrna_stats :: INFO : 3544881 input reads in GJ2
[15:43:37]  pyseqrna_stats :: INFO : 3418466 input reads in GJ3
[15:43:37]  pyseqrna_stats :: INFO : 4381917 input reads in GK1
[15:43:38]  pyseqrna_stats :: INFO : 4355539 input reads in GK2
[15:43:38]  pyseqrna_stats :: INFO : 3922282 input reads in GK3
[15:43:38]  pyseqrna_stats :: INFO : 3574557 input reads in GL1
[15:43:39]  pyseqrna_stats :: INFO : 3417695 input reads in GL2
[15:43:39]  pyseqrna_stats :: INFO : 3397904 input reads in GL3
[15:43:40]  pyseqrna_stats :: INFO : 3742505 input reads in GM1
[15:43:40]  pyseqrna_stats :: INFO : 3974953 input reads in GM2
[15:43:40]  pyseqrna_stats :: INFO : 3101048 input reads in GM3
[15:43:41]  pyseqrna_stats :: INFO : 4795588 input reads in GN1
[15:43:41]  pyseqrna_stats :: INFO : 4122810 input reads in GN2
[15:43:41]  pyseqrna_stats :: INFO : 3941188 input reads in GN3
[15:43:42]  pyseqrna_stats :: INFO : 4096725 input reads in GO1
[15:43:42]  pyseqrna_stats :: INFO : 4600688 input reads in GO2
[15:43:43]  pyseqrna_stats :: INFO : 3356753 input reads in GO3
[15:43:43]  pyseqrna_stats :: INFO : 5070032 input reads in GP1
[15:43:43]  pyseqrna_stats :: INFO : 4860889 input reads in GP2
[15:43:44]  pyseqrna_stats :: INFO : 3264391 input reads in GP3
[15:43:44]  pyseqrna_stats :: INFO : 3813500 input reads in GQ1
[15:43:44]  pyseqrna_stats :: INFO : 3809958 input reads in GQ2
[15:43:45]  pyseqrna_stats :: INFO : 4925823 input reads in GQ3
[15:43:45]  pyseqrna_stats :: INFO : 3526197 input reads in GR1
[15:43:45]  pyseqrna_stats :: INFO : 4789544 input reads in GR2
[15:43:46]  pyseqrna_stats :: INFO : 3673934 input reads in GR3
[15:43:46]  pyseqrna_stats :: INFO : 4009816 input reads in GS1
[15:43:46]  pyseqrna_stats :: INFO : 3880868 input reads in GS2
[15:43:47]  pyseqrna_stats :: INFO : 3322835 input reads in GS3
[15:43:47]  pyseqrna_stats :: INFO : 4079248 input reads in GT1
[15:43:48]  pyseqrna_stats :: INFO : 3642489 input reads in GT2
[15:43:48]  pyseqrna_stats :: INFO : 3867196 input reads in GT3
[15:43:48]  pyseqrna_stats :: INFO : 4328088 input reads in GU1
[15:43:49]  pyseqrna_stats :: INFO : 4328997 input reads in GU2
[15:43:49]  pyseqrna_stats :: INFO : 3649952 input reads in GU3
[15:43:50]  pyseqrna_stats :: INFO : 5244991 input reads in GV1
[15:43:50]  pyseqrna_stats :: INFO : 4270559 input reads in GV2
[15:43:50]  pyseqrna_stats :: INFO : 3219840 input reads in GV3
[15:43:51]  pyseqrna_stats :: INFO : 4175058 input reads in GW1
[15:43:51]  pyseqrna_stats :: INFO : 4450827 input reads in GW2
[15:43:52]  pyseqrna_stats :: INFO : 3478470 input reads in GW3
[15:43:52]  pyseqrna_stats :: INFO : 4834958 input reads in GX1
[15:43:52]  pyseqrna_stats :: INFO : 4471107 input reads in GX2
[15:43:53]  pyseqrna_stats :: INFO : 3424016 input reads in GX3
